batch_number,yaml_file,page_kind,page_index,page_name,store_results,page_id,pair_id,pair_role
5,marcussen_batch_05.yaml,trial,4,Trial 004,True,1014,1014,cross_organ_main
5,marcussen_batch_05.yaml,trial,5,Trial 005,True,2392,2392,cross_organ_main
5,marcussen_batch_05.yaml,trial,6,Trial 006,True,235,235,cross_organ_main
5,marcussen_batch_05.yaml,trial,7,Trial 007,True,962,962,same_pipe_reference
5,marcussen_batch_05.yaml,trial,8,Trial 008,True,989,989,cross_organ_main
5,marcussen_batch_05.yaml,trial,9,Trial 009,True,1331,1331,cross_organ_main
5,marcussen_batch_05.yaml,trial,10,Trial 010,True,1562,1562,cross_organ_main
5,marcussen_batch_05.yaml,trial,11,Trial 011,True,794,794,cross_organ_main
5,marcussen_batch_05.yaml,trial,12,Trial 012,True,1469,1469,cross_organ_main
5,marcussen_batch_05.yaml,trial,13,Trial 013,True,1374,1374,cross_organ_main
5,marcussen_batch_05.yaml,trial,14,Trial 014,True,1065,1065,cross_organ_main
5,marcussen_batch_05.yaml,trial,15,Trial 015,True,661,661,cross_organ_main
5,marcussen_batch_05.yaml,trial,16,Trial 016,True,746,746,cross_organ_main
5,marcussen_batch_05.yaml,trial,17,Trial 017,True,853,853,cross_organ_main
5,marcussen_batch_05.yaml,trial,18,Trial 018,True,2328,2328,cross_organ_main
5,marcussen_batch_05.yaml,trial,19,Trial 019,True,823,823,cross_organ_main
5,marcussen_batch_05.yaml,trial,20,Trial 020,True,997,997,cross_organ_main
5,marcussen_batch_05.yaml,trial,21,Trial 021,True,1409,1409,cross_organ_main
5,marcussen_batch_05.yaml,trial,22,Trial 022,True,2144,2144,cross_organ_main
